X,Y
34.1608,118.1597
34.1631,118.1559
34.1654,118.1526
34.1663,118.1476
34.1664,118.1426
34.1213,117.8983
34.1201,117.8761
34.1207,117.8578
34.1221,117.8434
34.1199,117.8356
34.1181,117.8323
34.0158,118.1598
34.0062,118.1613
33.9940,118.1584
33.9849,118.1577
33.9740,118.1553
33.9626,118.1551
33.9562,118.1567
33.9559,118.1568
33.9559,118.1568
33.9485,118.1604
33.9434,118.1648
33.9370,118.1708
33.9314,118.1743
33.9314,118.1743
33.9292,118.1757
33.9201,118.1788
33.9092,118.1803
33.8955,118.1823
33.8814,118.1866
33.8778,118.0853
33.8574,118.0833
33.8406,118.0776
33.8150,118.1980
33.8035,118.1776
33.8037,118.1771
33.8037,118.1771
33.8030,118.1611
33.8031,118.1439
33.8024,118.1306
33.7913,118.1940
33.7906,118.1664
33.7932,118.1355
33.7937,118.1311
33.7937,118.1311
33.7911,118.1244
33.7866,118.1199
33.7848,118.1149
33.7825,118.1121
33.7803,118.1088
33.7785,118.1077
33.8796,117.9896
33.8688,117.9734
33.8549,117.9545
33.8477,117.9472
33.8024,118.1306
33.7989,118.1091
33.7950,118.0963
33.7883,118.0785
33.7870,118.0746
33.8406,118.0776
33.8175,118.0739
33.8011,118.0743
33.7870,118.0746
33.7870,118.0746
33.7839,118.0690
33.7821,118.0613
33.7821,118.0600
33.7821,118.0600
33.7822,118.0464
33.7815,118.0276
33.7816,118.0120
33.7592,117.9826
33.7679,117.9950
33.7816,118.0120
33.7913,118.1940
33.8079,118.1963
33.8150,118.1980
33.9402,118.0817
33.9293,118.0733
33.9172,118.0554
33.9157,118.0526
33.9157,118.0526
33.9065,118.0359
33.8917,118.0080
33.8796,117.9896
33.8764,118.2739
33.8572,118.2752
33.8518,118.2751
33.8518,118.2751
33.8086,118.2750
33.7964,118.2720
33.7964,118.2720
33.7926,118.2438
33.7921,118.2029
33.7913,118.1940
33.8518,118.2751
33.8358,118.2475
33.8250,118.2235
33.8251,118.2229
33.8150,118.1980
33.8477,117.9472
33.8436,117.9405
33.8405,117.9349
33.8764,118.2739
33.9091,118.2755
33.9299,118.2761
33.9299,118.2761
33.9627,118.2770
34.2457,118.4144
34.2453,118.4050
34.2436,118.3983
34.2436,118.3983
34.2347,118.3744
34.2245,118.3544
34.2138,118.3363
34.1979,118.3183
34.1896,118.3123
34.1896,118.3123
34.1567,118.2893
34.1553,118.2890
34.1571,118.3729
34.1574,118.3468
34.1582,118.3174
34.1566,118.2968
34.1553,118.2890
34.1553,118.2890
34.1539,118.2619
34.1512,118.2372
34.1452,118.2111
34.1452,118.2111
34.1444,118.2045
34.1422,118.1983
34.1418,118.1894
34.1428,118.1822
34.1442,118.1772
34.1488,118.1745
34.1553,118.2890
34.1413,118.2816
34.1300,118.2730
34.1228,118.2657
34.1157,118.2573
34.1047,118.2398
34.1006,118.2294
34.0992,118.2195
34.0986,118.2126
34.0957,118.2059
34.1571,118.3729
34.1568,118.4006
34.1555,118.4283
34.1569,118.4595
34.1569,118.4595
34.1497,118.4599
34.1296,118.4662
34.1123,118.4681
34.1009,118.4662
34.0923,118.4649
34.0833,118.4620
34.0765,118.4568
34.0707,118.4518
34.0644,118.4439
34.0568,118.4365
34.0518,118.4342
34.1571,118.3729
34.1481,118.3638
34.1396,118.3542
34.1293,118.3402
34.1208,118.3251
34.1110,118.3094
34.1061,118.2993
34.0994,118.2925
34.0994,118.2925
34.0913,118.2835
34.0814,118.2728
34.0738,118.2594
34.0726,118.2570
34.0726,118.2570
34.0676,118.2471
34.0658,118.2437
34.0957,118.2059
34.0860,118.2160
34.0752,118.2274
34.0658,118.2437
34.0518,118.4342
34.0419,118.4246
34.0343,118.4145
34.0312,118.4100
34.0285,118.4781
34.0278,118.4609
34.0280,118.4476
34.0300,118.4355
34.0296,118.4233
34.0312,118.4100
34.0312,118.4100
34.0311,118.3773
34.0319,118.3501
34.0335,118.3286
34.0380,118.2948
34.0378,118.2738
34.0374,118.2643
34.0374,118.2643
34.0475,118.2551
34.0594,118.2453
34.0658,118.2437
34.0408,118.1995
34.0371,118.2083
34.0343,118.2188
34.0354,118.2344
34.0367,118.2505
34.0374,118.2643
34.3330,118.5184
34.3262,118.5127
34.3250,118.5055
34.3228,118.4999
34.3228,118.4999
34.3089,118.4854
34.2928,118.4631
34.2928,118.4631
34.2869,118.4608
34.2810,118.4607
34.2773,118.4617
34.2710,118.4636
34.2928,118.4631
34.2834,118.4502
34.2709,118.4415
34.2709,118.4415
34.2694,118.4405
34.2600,118.4286
34.2506,118.4195
34.2488,118.4151
34.2457,118.4144
34.0818,117.8951
34.0805,117.8801
34.0783,117.8657
34.0762,117.8523
34.0726,117.8362
34.0723,117.8212
34.0733,117.8080
34.1181,117.8323
34.1040,117.8283
34.0918,117.8240
34.0829,117.8179
34.0764,117.8116
34.0733,117.8080
34.0733,117.8080
34.0747,117.8041
34.0770,117.7997
34.0770,117.7997
34.0793,117.7892
34.0803,117.7825
34.0817,117.7731
34.0818,117.7637
34.0815,117.7459
34.0820,117.7298
34.0830,117.7132
34.0831,117.6971
34.0850,117.6838
34.0873,117.6739
34.0892,117.6611
34.0879,117.6511
34.0875,117.6434
34.0875,117.6434
34.0839,117.6345
34.0799,117.6217
34.0763,117.6122
34.0754,117.6094
34.0755,117.6028
34.0756,117.5828
34.0766,117.5673
34.0771,117.5446
34.0772,117.5279
34.0203,117.5436
34.0385,117.5404
34.0544,117.5372
34.0685,117.5312
34.0772,117.5279
34.0772,117.5279
34.0867,117.5252
34.1018,117.5148
34.1100,117.5098
34.1100,117.5098
34.1214,117.5010
34.1310,117.4922
34.1442,117.4773
33.7592,117.9826
33.7439,117.9647
33.7267,117.9468
33.7096,117.9317
33.6987,117.9233
33.6919,117.9166
33.6888,117.9110
33.6884,117.9066
33.6884,117.9020
33.6884,117.9020
33.6885,117.8917
33.6886,117.8730
33.7833,117.8685
33.7720,117.8562
33.7616,117.8439
33.7508,117.8267
33.6646,117.9825
33.6507,117.9613
33.6403,117.9447
33.6318,117.9291
33.6278,117.9230
33.7785,118.1077
33.7658,118.0986
33.7577,118.0930
33.7438,118.0762
33.7280,118.0583
33.7105,118.0349
33.6957,118.0160
33.6849,118.0020
33.6646,117.9825
33.8405,117.9349
33.8284,117.9176
33.8158,117.9026
33.7991,117.8836
33.7833,117.8685
34.1442,117.4773
34.1607,117.4536
34.1735,117.4364
34.1926,117.4138
34.2100,117.3988
34.2223,117.3911
34.0717,117.2828
34.0690,117.2700
34.0677,117.2484
34.0636,117.2284
34.0591,117.2068
34.0551,117.1885
34.0533,117.1785
34.0514,117.1730
34.0772,117.5279
34.0796,117.5052
34.0783,117.4908
34.0783,117.4703
34.0794,117.4292
34.0800,117.3965
34.0801,117.3638
34.0792,117.3472
34.0766,117.3222
34.0721,117.2939
34.0717,117.2828
34.3165,117.4650
34.3134,117.4589
34.3111,117.4550
34.3111,117.4550
34.3057,117.4461
34.3020,117.4421
34.2980,117.4377
34.2948,117.4354
34.2903,117.4337
34.2862,117.4326
34.2816,117.4342
34.2780,117.4364
34.2707,117.4397
34.2652,117.4425
34.2616,117.4425
34.2603,117.4413
34.2571,117.4391
34.2462,117.4257
34.2381,117.4107
34.2286,117.3967
34.2223,117.3911
34.0514,117.1730
34.0460,117.1580
34.0374,117.1391
34.0333,117.1308
34.0283,117.1197
34.0229,117.1097
34.0170,117.0914
34.0129,117.0726
34.0093,117.0537
34.0066,117.0426
34.0029,117.0349
33.9984,117.0299
33.9943,117.0266
33.9875,117.0222
33.9761,117.0111
33.9675,117.0028
33.9579,116.9922
33.9479,116.9801
33.8935,117.5450
33.8821,117.5355
33.8762,117.5327
33.8658,117.5309
33.8576,117.5298
33.8490,117.5275
33.8413,117.5252
33.8277,117.5141
33.8159,117.5046
33.8032,117.4968
33.7928,117.4895
33.7814,117.4823
33.7674,117.4717
33.7561,117.4600
33.7511,117.4495
33.7466,117.4351
33.7448,117.4208
33.7444,117.4070
33.7445,117.3976
33.7445,117.3976
33.7441,117.3821
33.7418,117.3699
33.7369,117.3600
33.7301,117.3517
33.7224,117.3439
33.7119,117.3367
33.7042,117.3322
33.7010,117.3306
35.7923,121.3264
35.7858,121.3181
35.7806,121.3115
35.7735,121.3055
35.7687,121.3018
35.7597,121.2996
35.7526,121.2952
35.7477,121.2921
35.7432,121.2890
35.7351,121.2885
35.7278,121.2898
35.7182,121.2893
35.7119,121.2878
35.7053,121.2840
35.6975,121.2722
35.6945,121.2687
